Iteration	Posterior	Likelihood	Prior	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	rate_log_sd	tree_length	two_beta
0	-443.1477	-595.1962	152.0484	0.350057	0.190317	0.367021	0.0926051	7.362776	2.009124	0.998878	3.528297
6	-441.4793	-597.6106	156.1313	0.464933	0.114341	0.353152	0.067574	1.810777	2.25288	1.55894	0.5715819
12	-434.7967	-589.1528	154.3561	0.318898	0.111654	0.490582	0.0788654	6.217958	1.655961	1.55894	0.6253228
18	-436.669	-589.932	153.2629	0.395834	0.191972	0.263677	0.148517	2.874903	1.599973	1.55894	4.528234
24	-422.4233	-578.4036	155.9803	0.415218	0.137837	0.340309	0.106636	2.536238	1.970704	0.7784627	1.347756
30	-441.6476	-593.0288	151.3812	0.028903	0.264731	0.590607	0.115759	19.5243	2.453014	0.4490645	0.6436707
36	-449.8162	-603.9049	154.0887	0.039897	0.365429	0.429565	0.16511	7.810298	2.143198	0.5423646	0.8230898
42	-439.6402	-591.5523	151.912	0.538418	0.0507565	0.22886	0.181966	8.430871	1.472846	2.095036	1.808532
48	-431.9514	-589.8289	157.8776	0.497873	0.148102	0.214358	0.139667	1.26344	1.923331	0.797484	0.4764451
54	-437.5212	-591.4464	153.9252	0.360315	0.105435	0.155133	0.379117	8.052414	2.177795	0.5549571	0.8716453
60	-437.011	-591.781	154.7699	0.39068	0.16539	0.390916	0.0530148	3.781574	2.371694	0.5549571	1.566757
66	-442.9013	-592.8313	149.93	0.510655	0.0152695	0.434101	0.0399746	29.01207	2.24875	0.5891011	0.9711167
72	-441.5923	-597.1697	155.5773	0.554995	0.00340634	0.175152	0.266446	2.951852	2.337302	0.5062127	1.225953
78	-448.9265	-606.3503	157.4237	0.481426	0.00357362	0.235469	0.279531	1.214058	2.215357	0.5802253	0.7877428
84	-435.6096	-590.0523	154.4427	0.377206	0.0137261	0.147566	0.461502	6.059852	2.214699	0.5053853	1.00525
90	-437.4283	-593.7607	156.3323	0.605453	0.0130395	0.196868	0.18464	2.500416	2.214699	0.8461931	0.7159999
96	-435.6297	-592.5435	156.9137	0.482738	0.0611273	0.317111	0.139023	2.264792	2.216651	0.6643138	0.4209119
102	-438.4863	-596.5836	158.0974	0.497166	0.114514	0.326589	0.061731	0.8962865	1.937901	1.013481	0.4023487
108	-428.2314	-583.8506	155.6192	0.497166	0.114514	0.326589	0.061731	4.74515	1.926286	1.036244	0.2851249
114	-440.0632	-593.1231	153.0599	0.740523	0.0639064	0.173475	0.022095	13.66245	1.876355	0.9890485	0.2889371
120	-436.18	-588.8645	152.6844	0.57547	0.075208	0.317281	0.0320404	13.66245	1.628362	1.513494	0.2889371
126	-436.2254	-591.1224	154.8969	0.492562	0.15094	0.258732	0.097766	5.94032	1.922391	1.068456	0.5305048
132	-447.4928	-602.7159	155.2231	0.26261	0.258039	0.300481	0.178871	5.622494	2.078789	0.90814	0.2716116
138	-428.9532	-584.4205	155.4673	0.778496	0.0523912	0.143146	0.0259675	5.312763	2.076102	0.7644276	0.2716116
144	-441.1609	-597.688	156.5271	0.373986	0.284348	0.325761	0.0159048	3.119075	2.157632	0.6493349	0.2716116
150	-428.5218	-586.7381	158.2163	0.439463	0.159052	0.382795	0.0186893	1.071679	1.994898	0.6493349	0.2994554
156	-424.4017	-581.0326	156.6309	0.169587	0.50881	0.314716	0.00688731	2.520573	2.271552	0.4673019	0.5206068
162	-427.1845	-585.2955	158.111	0.146795	0.384926	0.451757	0.0165222	0.5737171	2.576057	0.3737366	0.362831
168	-432.82	-585.9953	153.1753	0.332884	0.254099	0.361999	0.0510181	10.49853	2.619249	0.2842474	0.362831
174	-430.546	-588.4343	157.8883	0.526081	0.133856	0.256232	0.0838308	0.8315344	2.540864	0.3417767	0.2955821
180	-431.7596	-589.5811	157.8215	0.39843	0.257123	0.243524	0.100923	0.9211303	2.492671	0.6409058	0.3810333
186	-432.0083	-587.9658	155.9575	0.645186	0.0432458	0.259315	0.0522528	4.082749	2.161996	0.5002143	0.4109247
192	-432.9218	-590.2856	157.3638	0.267671	0.0456503	0.631521	0.055158	1.052028	2.30164	0.7681898	0.8205063
198	-431.89	-586.6694	154.7795	0.314419	0.0341398	0.471654	0.179788	5.889093	1.964791	0.752448	0.8895401
204	-447.2329	-602.6548	155.4219	0.275484	0.0664739	0.583751	0.0742912	3.022692	2.505936	0.9677812	0.8895401
210	-441.4209	-596.3335	154.9126	0.239835	0.0817285	0.480326	0.198111	1.418807	2.325614	0.8256668	3.568153
216	-440.8146	-596.0648	155.2502	0.158819	0.40666	0.267865	0.166656	1.95209	2.427663	0.8300359	2.15073
222	-440.5379	-597.5838	157.0459	0.268619	0.19494	0.262279	0.274161	0.6351715	2.599616	0.6727902	1.341818
228	-435.0154	-589.8043	154.7889	0.383457	0.0481744	0.378755	0.189614	4.227874	2.317066	0.845794	1.178331
234	-437.2372	-589.2196	151.9824	0.378042	0.0353529	0.548343	0.0382618	13.52948	2.300139	0.8238425	1.149606
240	-438.0202	-592.4796	154.4594	0.520776	0.0272397	0.422503	0.029481	7.811297	1.945827	0.9461674	0.4075426
246	-450.0834	-604.8714	154.788	0.616482	0.0191117	0.296433	0.0679731	6.528142	2.176738	0.8713298	0.3309278
252	-435.3814	-593.5205	158.1391	0.571086	0.18676	0.200864	0.0412891	1.144591	1.927371	0.7895421	0.2479454
258	-442.4644	-600.3105	157.8461	0.628165	0.199514	0.142938	0.029382	1.144591	2.294373	0.6718957	0.2479454
264	-433.6498	-587.8385	154.1888	0.566981	0.197752	0.224458	0.0108085	8.561582	2.160598	0.6459996	0.4553902
